Time,Vertical Force (single leg)
18711.29315,401.899353
18711.30148,400.220886
18711.30981,400.220886
18711.31815,400.068298
18711.32648,400.068298
18711.33481,399.763123
18711.34315,399.91571
18711.35148,398.389832
18711.35981,398.389832
18711.36815,397.77948
18711.37648,397.77948
18711.38481,399.610535
18711.39315,399.763123
18711.40148,399.305359
18711.40981,397.932068
18711.41815,397.932068
18711.42648,399.763123
18711.43481,399.763123
18711.44315,398.542419
18711.45148,398.084656
18711.45981,398.847595
18711.46815,398.847595
18711.47648,398.542419
18711.48481,398.542419
18711.49315,398.542419
18711.50148,398.237244
18711.50981,397.77948
18711.51815,397.77948
18711.52648,398.084656
18711.53481,398.084656
18711.54315,398.084656
18711.55148,396.863953
18711.55981,398.237244
18711.56815,398.237244
18711.57648,397.77948
18711.58481,397.77948
18711.59315,399.305359
18711.60148,397.626892
18711.60981,397.626892
18711.61815,397.169128
18711.62648,397.169128
18711.63481,398.237244
18711.64315,396.406189
18711.65148,396.863953
18711.65981,396.253601
18711.66815,396.253601
18711.67648,395.032898
18711.68481,395.032898
18711.69315,396.711365
18711.70148,396.101013
18711.70981,394.88031
18711.71815,393.354431
18711.72648,393.354431
18711.73481,396.101013
18711.74315,394.727722
18711.75148,394.575134
18711.75981,396.558777
18711.76815,396.558777
18711.77648,395.64325
18711.78481,395.64325
18711.79315,396.101013
18711.80148,397.169128
18711.80981,396.253601
18711.81815,396.253601
18711.82648,396.101013
18711.83481,396.101013
18711.84315,396.558777
18711.85148,397.321716
18711.85981,396.711365
18711.86815,396.711365
18711.87648,396.711365
18711.88481,395.948425
18711.89315,397.77948
18711.90148,397.321716
18711.90981,396.863953
18711.91815,397.321716
18711.92648,397.626892
18711.93481,397.626892
18711.94315,397.932068
18711.95148,397.626892
18711.95981,398.847595
18711.96815,397.626892
18711.97648,397.626892
18711.98481,397.016541
18711.99315,398.389832
18712.00148,399.152771
18712.00981,399.152771
18712.01815,399.152771
18712.02648,398.389832
18712.03481,398.389832
18712.04315,397.932068
18712.05148,397.016541
18712.05981,398.695007
18712.06815,397.321716
18712.07648,397.321716
18712.08481,396.863953
18712.09315,398.084656
18712.10148,397.77948
18712.10981,399.000183
18712.11815,398.847595
18712.12648,398.847595
18712.13481,398.847595
18712.14315,397.321716
18712.15148,397.77948
18712.15981,396.101013
18712.16815,397.932068
18712.17648,397.932068
18712.18481,396.101013
18712.19315,395.490662
18712.20148,396.863953
18712.20981,396.406189
18712.21815,396.253601
18712.22648,396.253601
18712.23481,397.77948
18712.24315,396.711365
18712.25148,397.626892
18712.25981,397.626892
18712.26815,398.542419
18712.27648,398.542419
18712.28481,398.847595
18712.29315,397.77948
18712.30148,400.373474
18712.30981,399.000183
18712.31815,399.000183
18712.32648,398.847595
18712.33481,399.610535
18712.34315,399.610535
18712.35148,399.763123
18712.35981,399.457947
18712.36815,399.457947
18712.37648,399.610535
18712.38481,399.305359
18712.39315,400.068298
18712.40148,400.983826
18712.40981,402.204529
18712.41815,402.204529
18712.42648,403.120056
18712.43481,402.81488
18712.44315,405.256287
18712.45148,406.019226
18712.45981,406.629578
18712.46815,406.629578
18712.47648,406.171814
18712.48481,406.934753
18712.49315,409.070984
18712.50148,409.528748
18712.50981,410.749451
18712.51815,410.749451
18712.52648,412.27533
18712.53481,414.564148
18712.54315,415.784851
18712.55148,417.921082
18712.55981,421.430603
18712.56815,423.261658
18712.57648,425.703064
18712.58481,425.703064
18712.59315,427.686707
18712.60148,429.517761
18712.60981,431.653992
18712.61815,433.332458
18712.62648,433.332458
18712.63481,436.231628
18712.64315,438.520447
18712.65148,441.114441
18712.65981,443.250671
18712.66815,444.318787
18712.67648,443.708435
18712.68481,443.708435
18712.69315,445.234314
18712.70148,444.623962
18712.70981,444.013611
18712.71815,442.335144
18712.72648,442.335144
18712.73481,440.046326
18712.74315,437.147156
18712.75148,435.316101
18712.75981,433.027283
18712.76815,430.738464
18712.77648,430.738464
18712.78481,428.754822
18712.79315,425.703064
18712.80148,423.566833
18712.80981,421.125427
18712.81815,422.040955
18712.82648,422.040955
18712.83481,419.904724
18712.84315,418.226257
18712.85148,417.158142
18712.85981,416.547791
18712.86815,414.716736
18712.87648,414.716736
18712.88481,410.902039
18712.89315,409.37616
18712.90148,406.934753
18712.90981,406.019226
18712.91815,401.594177
18712.92648,400.526062
18712.93481,400.526062
18712.94315,397.932068
18712.95148,396.406189
18712.95981,395.490662
18712.96815,395.490662
18712.97648,393.812195
18712.98481,389.84491
18712.99315,386.94574
18713.00148,383.28363
18713.00981,377.332703
18713.01815,373.518005
18713.02648,373.518005
18713.03481,369.855896
18713.04315,366.804138
18713.05148,361.921326
18713.05981,357.343689
18713.06815,355.665222
18713.07648,355.665222
18713.08481,353.528992
18713.09315,353.223816
18713.10148,352.460876
18713.10981,351.240173
18713.11815,350.477234
18713.12648,350.477234
18713.13481,353.223816
18713.14315,351.697937
18713.15148,350.934998
18713.15981,350.172058
18713.16815,349.714294
18713.17648,349.714294
18713.18481,347.578064
18713.19315,343.305603
18713.20148,339.033142
18713.20981,332.929626
18713.21815,332.929626
18713.22648,326.215759
18713.23481,321.027771
18713.24315,313.398376
18713.25148,306.989685
18713.25981,298.597351
18713.26815,298.597351
18713.27648,289.747253
18713.28481,278.608337
18713.29315,269.300476
18713.30148,259.534851
18713.30981,247.63298
18713.31815,247.63298
18713.32648,232.831955
18713.33481,216.962814
18713.34315,194.990158
18713.35148,176.832199
18713.35981,153.028488
18713.36815,153.028488
18713.37648,131.055832
18713.38481,110.303879
18713.39315,90.314865
18713.40148,75.51384
18713.40981,64.680099
18713.41815,64.680099
18713.42648,54.151535
18713.43481,46.064377
18713.44315,39.35051
18713.45148,33.094406
18713.45981,25.617599
